date,company,sector,last_price,opening_price,high,low,volume,variation
2025-03-27,SFBT,Food & Beverage,23.637,23.754,24.713,22.795,58301,1.33
2025-03-27,BIAT,Banking,59.022,58.187,59.604,56.77,45010,-1.81
2025-03-27,Attijari Bank,Banking,86.468,84.632,86.532,82.733,73657,-0.73
2025-03-27,Tunisie Telecom,Telecom,65.115,65.413,67.11,63.716,91340,-2.67
2025-03-27,BH Bank,Banking,62.115,63.363,64.936,61.79,52594,0.84
2025-03-27,Délice Holding,Food & Beverage,18.181,18.043,18.354,17.732,67494,-1.76
2025-03-27,SAH Lilas,Industry,7.196,7.285,7.385,7.186,54624,-0.6
2025-03-27,UIB,Banking,76.316,76.215,77.59,74.839,44485,-1.16
2025-03-27,STAR,Insurance,25.307,24.906,25.55,24.262,80830,0.52
2025-03-27,Tunisair,Transport,23.394,23.785,24.27,23.301,29252,1.66
2025-03-27,ATB,Banking,82.903,83.136,84.816,81.455,86875,1.43
2025-03-27,BNA,Banking,56.262,56.401,57.232,55.569,63802,2.66
2025-03-27,BT,Banking,80.661,81.803,84.638,78.967,39903,-2.23
2025-03-27,STB,Banking,75.217,75.929,77.557,74.301,26768,-0.63
2025-03-27,Amen Bank,Banking,75.797,75.291,78.424,72.158,12865,2.75
2025-03-27,Attijari Leasing,Financial Services,13.672,13.665,14.012,13.318,17915,-0.8
2025-03-27,BH Leasing,Financial Services,11.315,11.332,11.654,11.011,17262,-1.91
2025-03-27,CIL,Financial Services,44.736,44.82,45.292,44.348,98616,0.68
2025-03-27,Hannibal Lease,Financial Services,24.693,24.39,25.132,23.648,61665,-0.04
2025-03-27,Modern Leasing,Financial Services,24.215,24.234,25.212,23.256,86771,-0.65
2025-03-27,Tunisie Leasing,Financial Services,37.798,37.281,38.421,36.141,83951,0.96
2025-03-27,PGH,Holding,60.938,60.029,61.602,58.456,20534,-1.54
2025-03-27,SIMPAR,Construction,19.742,19.562,20.252,18.873,7012,-2.52
2025-03-27,SOMOCER,Industry,10.076,10.101,10.447,9.756,54679,-0.98
2025-03-27,SOTIPAPIER,Industry,18.239,18.154,18.522,17.785,13856,-0.16
2025-03-27,SOTUVER,Industry,6.514,6.645,6.818,6.472,17570,-2.85
2025-03-27,TELNET,Technology,36.564,36.829,37.478,36.181,4928,-2.38
2025-03-27,TPR,Industry,23.719,23.801,24.456,23.146,76945,1.09
2025-03-27,UNIMED,Healthcare,33.873,33.919,34.594,33.243,83874,-1.73
2025-03-27,ADWYA,Healthcare,33.121,33.285,33.69,32.88,48571,1.68
2025-03-27,ARTES,Automotive,7.218,7.299,7.466,7.131,64076,2.37
2025-03-27,CELLCOM,Technology,46.857,46.647,47.57,45.723,15736,1.74
2025-03-27,CITY CARS,Automotive,7.381,7.316,7.503,7.128,66411,-1.57
2025-03-27,ENNAKL,Automotive,10.788,10.745,11.033,10.457,89663,-2.87
2025-03-27,EURO-CYCLES,Industry,17.993,18.131,18.474,17.788,58380,-1.41
2025-03-27,GIF,Industry,29.561,29.52,29.951,29.09,51243,-1.74
2025-03-27,LAND'OR,Food & Beverage,38.358,38.325,39.082,37.567,79444,-2.24
2025-03-27,MAGASIN GENERAL,Retail,11.61,11.53,11.801,11.26,75138,2.17
2025-03-27,MONOPRIX,Retail,9.281,9.348,9.503,9.192,73727,1.28
2025-03-27,NEW BODY LINE,Industry,11.437,11.378,11.729,11.027,49057,1.58
2025-03-27,OFFICE PLAST,Industry,30.321,30.236,31.074,29.399,27138,0.36
2025-03-27,ONE TECH HOLDING,Technology,44.071,44.169,45.88,42.458,14396,0.11
2025-03-27,SAM,Industry,19.584,19.63,19.887,19.374,21465,-2.93
2025-03-27,SANIMED,Healthcare,27.334,27.471,28.25,26.692,80488,-0.47
2025-03-27,SERVICOM,Services,24.735,24.631,25.071,24.19,70103,2.87
2025-03-27,SOTEMAIL,Industry,12.727,12.713,12.729,12.697,74910,-0.46
2025-03-27,SOTRAPIL,Energy,23.081,23.189,23.556,22.822,12769,-0.58
